clusterId	category	synthetic	resolvedType	clusterCount	clusterDesc
305	INCOMPLETE	false	INF	1	INF
306	SIMPLE	false	INS	1	INS
307	SIMPLE	false	DEL	1	DEL
308	INCOMPLETE	false	INV	1	INV
309	SIMPLE	false	INS	1	INS
310	SIMPLE	false	INS	1	INS
311	INSERTION	false	LINE	2	SGL=2
312	SIMPLE	false	SGL_PAIR_INS	2	INF=1_SGL=1
313	SIMPLE	false	INS	1	INS
314	SIMPLE	true	DUP	3	DUP=1_INV=2
315	INSERTION	false	LINE	2	SGL=2
316	INCOMPLETE	false	INF	1	INF
317	INCOMPLETE	false	INF	1	INF
318	SIMPLE	false	INS	1	INS
319	SIMPLE	false	INS	1	INS
320	INCOMPLETE	false	INF	1	INF
321	INCOMPLETE	false	INF	1	INF
322	SIMPLE	false	DEL	1	DEL
323	SIMPLE	false	INS	1	INS
324	SIMPLE	false	SGL_PAIR_INS	2	INF=1_SGL=1
325	SIMPLE	false	SGL_PAIR_INS	2	INF=1_SGL=1
326	SIMPLE	false	INS	1	INS
327	SIMPLE	false	INS	1	INS
328	SIMPLE	false	INS	1	INS
329	SIMPLE	false	INS	1	INS
330	SIMPLE	false	INS	1	INS
331	SIMPLE	false	SGL_PAIR_INS	2	INF=1_SGL=1
332	SIMPLE	false	SGL_PAIR_INS	2	INF=1_SGL=1
333	SIMPLE	false	DEL	1	DEL
334	RECIPROCAL	false	RECIP_INV_DUPS	2	INV=2
335	SIMPLE	false	DEL	1	DEL
336	INCOMPLETE	false	INF	1	INF
337	SIMPLE	false	INS	1	INS
338	SIMPLE	false	DEL	1	DEL
339	INCOMPLETE	false	INF	1	INF
340	SIMPLE	false	INS	1	INS
341	INCOMPLETE	false	INF	1	INF
342	INCOMPLETE	false	INF	1	INF
343	SIMPLE	false	DEL	1	DEL
344	INSERTION	false	LINE	2	SGL=2
345	INCOMPLETE	false	SGL	1	SGL
346	SIMPLE	false	INS	1	INS
347	SIMPLE	false	INS	1	INS
348	SIMPLE	false	INS	1	INS
349	SIMPLE	false	INS	1	INS
350	SIMPLE	false	INS	1	INS
351	SIMPLE	false	INS	1	INS
352	INSERTION	false	LINE	2	SGL=2
353	INCOMPLETE	false	INF	1	INF
354	INCOMPLETE	false	INF	1	INF
355	SIMPLE	false	INS	1	INS
356	INCOMPLETE	false	INF	1	INF
357	INCOMPLETE	false	INF	1	INF
358	SIMPLE	false	INS	1	INS
359	SIMPLE	false	INS	1	INS
360	SIMPLE	false	INS	1	INS
361	INCOMPLETE	false	INF	1	INF
362	INCOMPLETE	false	INF	1	INF
363	SIMPLE	false	DEL	1	DEL
364	SIMPLE	false	INS	1	INS
365	SIMPLE	true	DEL	2	DEL=1_DUP=1
366	SIMPLE	false	INS	1	INS
367	SIMPLE	false	INS	1	INS
368	INCOMPLETE	false	INF	1	INF
369	INCOMPLETE	false	INF	1	INF
370	INCOMPLETE	false	INV	1	INV
371	SIMPLE	false	DEL	1	DEL
372	SIMPLE	false	DEL	1	DEL
373	INSERTION	false	LINE	2	SGL=2
374	INCOMPLETE	false	INF	1	INF
375	INCOMPLETE	false	INF	1	INF
376	SIMPLE	false	DEL	1	DEL
377	SIMPLE	false	DEL	1	DEL
378	SIMPLE	false	INS	1	INS
379	SIMPLE	false	INS	1	INS
380	SIMPLE	false	SGL_PAIR_INS	2	INF=1_SGL=1
381	INSERTION	false	LINE	2	SGL=2
382	SIMPLE	false	INS	1	INS
383	INSERTION	false	LINE	2	SGL=2
384	SIMPLE	false	DUP	1	DUP
385	SIMPLE	false	DEL	1	DEL
386	SIMPLE	false	INS	1	INS
387	SIMPLE	false	INS	1	INS
388	INCOMPLETE	false	PAIR_OTHER	2	INV=2
389	INCOMPLETE	false	INF	1	INF
390	INCOMPLETE	false	INF	1	INF
391	SIMPLE	false	DEL	1	DEL
392	SIMPLE	false	INS	1	INS
393	SIMPLE	false	INS	1	INS
394	SIMPLE	false	INS	1	INS
395	SIMPLE	false	INS	1	INS
396	SIMPLE	false	DUP	1	DUP
397	SIMPLE	false	DEL	1	DEL
399	SIMPLE	false	INS	1	INS
400	SIMPLE	false	DEL	1	DEL
401	SIMPLE	false	INS	1	INS
402	INCOMPLETE	false	INF	1	INF
403	INCOMPLETE	false	INF	1	INF
404	SIMPLE	false	INS	1	INS
405	SIMPLE	false	DUP	1	DUP
406	SIMPLE	false	INS	1	INS
407	SIMPLE	false	INS	1	INS
408	SIMPLE	false	INS	1	INS
409	INCOMPLETE	false	INF	1	INF
410	SIMPLE	false	INS	1	INS
411	INCOMPLETE	false	INF	1	INF
412	INCOMPLETE	false	INF	1	INF
413	INCOMPLETE	false	PAIR_OTHER	2	INF=1_INV=1
415	SIMPLE	false	INS	1	INS
416	SIMPLE	false	INS	1	INS
417	SIMPLE	false	INS	1	INS
418	SIMPLE	false	INS	1	INS
419	SIMPLE	false	INS	1	INS
420	SIMPLE	true	DUP	2	INV=2
421	SIMPLE	false	INS	1	INS
422	SIMPLE	false	DEL	1	DEL
423	SIMPLE	false	INS	1	INS
424	SIMPLE	false	INS	1	INS
425	SIMPLE	false	INS	1	INS
426	INCOMPLETE	false	INF	1	INF
427	INCOMPLETE	false	INF	1	INF
428	SIMPLE	false	DEL	1	DEL
429	SIMPLE	false	DUP	1	DUP
430	INCOMPLETE	false	PAIR_OTHER	2	INF=1_INV=1
432	SIMPLE	false	INS	1	INS
433	INCOMPLETE	false	PAIR_OTHER	2	INF=1_INV=1
435	SIMPLE	false	SGL_PAIR_INS	2	INF=1_SGL=1
436	INSERTION	false	LINE	2	SGL=2
437	SIMPLE	false	INS	1	INS
438	SIMPLE	false	DEL	1	DEL
439	INSERTION	false	LINE	2	INF=1_SGL=1
440	SIMPLE	false	INS	1	INS
441	SIMPLE	false	DEL	1	DEL
442	SIMPLE	false	SGL_PAIR_INS	2	SGL=2
443	INCOMPLETE	false	INF	1	INF
444	SIMPLE	false	INS	1	INS
445	SIMPLE	false	INS	1	INS
446	SIMPLE	false	INS	1	INS
447	SIMPLE	false	DUP	1	DUP
448	SIMPLE	false	DEL	1	DEL
449	SIMPLE	false	INS	1	INS
450	SIMPLE	false	INS	1	INS
451	SIMPLE	false	INS	1	INS
452	SIMPLE	false	INS	1	INS
453	SIMPLE	false	INS	1	INS
454	INSERTION	false	LINE	1	SGL
455	INSERTION	false	LINE	2	SGL=2
456	INSERTION	false	LINE	2	SGL=2
457	SIMPLE	false	SGL_PAIR_INS	2	INF=1_SGL=1
